model_name,group_name,workload_name,candidate_action,backend,hardware_label,backend_feasible,calibration_signal,perturbation_risk,predicted_quality_risk,prompt_nll_delta_pct_vs_bf16,latency_delta_pct_vs_bf16,prefill_latency_delta_pct_vs_bf16,output_tokens_per_sec_delta_pct_vs_bf16,decode_tokens_per_sec_delta_pct_vs_bf16,total_tokens_per_sec_delta_pct_vs_bf16,memory_delta_gib_vs_bf16,memory_delta_pct_vs_bf16,kv_cache_memory_delta_gib_vs_bf16,source_artifact,failure_reason,notes
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.706111,,-1.677881,-1.677881,-1.677881,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.768831,,-1.739250,-1.739250,-1.739250,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_bitsandbytes,vllm+float16+bitsandbytes,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.01324062,1.324062,-42.350318,,73.459595,73.459595,73.459595,0.656250,2.999406,0.656250,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_bitsandbytes/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009038,0.009038,0.269745,,-0.269952,-0.269952,-0.269952,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.387256,,-1.368143,-1.368143,-1.368143,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.486275,,-1.465775,-1.465775,-1.465775,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-GPTQ,decode,decode_heavy,llama31_8b_base_gptq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.04135850,4.135850,-63.716571,,175.612420,175.612420,175.612420,0.310547,1.419362,0.310547,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_base_gptq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4,decode,decode_heavy,llama31_8b_instruct_awq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.07626011,7.626011,192.983646,,-65.868660,-65.868660,-65.868660,0.320312,1.463996,0.320312,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_awq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-Instruct-GPTQ,decode,decode_heavy,llama31_8b_instruct_gptq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.05365960,5.365960,-62.453203,,166.357768,166.357768,164.495126,0.037109,0.169609,0.037109,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_gptq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-Instruct-GPTQ,decode,decode_heavy,llama31_8b_instruct_gptq_marlin_artifact,vllm+float16+gptq_marlin,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.05365960,5.365960,-63.272060,,172.269026,172.269026,170.365046,0.037109,0.169609,0.037109,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_gptq_marlin_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.850111,,-1.811982,,-1.811982,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.967952,,-1.928934,,-1.928934,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_bitsandbytes,vllm+float16+bitsandbytes,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.01324062,1.324062,122.949254,,-55.146687,,-55.146687,0.654297,2.990212,0.654297,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_bitsandbytes/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009038,0.009038,-0.449928,,0.452456,,0.452456,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.465582,,-1.444499,,-1.444499,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.271938,,-1.253044,,-1.253044,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-GPTQ,mixed_batch,mixed,llama31_8b_base_gptq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.04135850,4.135850,-58.373225,,140.230320,,140.230320,0.308594,1.410309,0.308594,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_base_gptq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4,mixed_batch,mixed,llama31_8b_instruct_awq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.07626011,7.626011,187.695280,,-65.241016,,-65.241016,0.320312,1.463865,0.320312,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_awq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-Instruct-GPTQ,mixed_batch,mixed,llama31_8b_instruct_gptq_artifact,unknown,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.05365960,5.365960,-62.605516,,167.476634,,165.842358,0.035156,0.160668,0.035156,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_gptq_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/shuyuej__Meta-Llama-3.1-8B-Instruct-GPTQ,mixed_batch,mixed,llama31_8b_instruct_gptq_marlin_artifact,vllm+float16+gptq_marlin,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.05365960,5.365960,-63.129448,,171.259052,,169.601665,0.035156,0.160668,0.035156,experiments/h9-transformer-inference-policy-search/results/benchmarks/llama31_8b_instruct_gptq_marlin_artifact/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
