model_name,group_name,workload_name,candidate_action,backend,hardware_label,backend_feasible,calibration_signal,perturbation_risk,predicted_quality_risk,prompt_nll_delta_pct_vs_bf16,latency_delta_pct_vs_bf16,prefill_latency_delta_pct_vs_bf16,output_tokens_per_sec_delta_pct_vs_bf16,decode_tokens_per_sec_delta_pct_vs_bf16,total_tokens_per_sec_delta_pct_vs_bf16,memory_delta_gib_vs_bf16,memory_delta_pct_vs_bf16,kv_cache_memory_delta_gib_vs_bf16,source_artifact,failure_reason,notes
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/bf16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009738,0.009738,-0.308156,,0.309048,0.309048,0.309048,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/fp16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4,decode,decode_heavy,llama31_8b_instruct_awq_marlin_artifact,vllm+float16+awq_marlin,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.02851377,2.851377,-62.146015,,164.177864,164.177864,164.177864,0.054688,0.249950,0.054688,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/llama31_8b_instruct_awq_marlin_artifact/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/bf16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009738,0.009738,-0.864452,,0.871928,,0.871928,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/fp16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4,mixed_batch,mixed,llama31_8b_instruct_awq_marlin_artifact,vllm+float16+awq_marlin,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.02851377,2.851377,-62.657830,,167.796355,,167.796355,0.052734,0.241002,0.052734,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/llama31_8b_instruct_awq_marlin_artifact/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,prefill,prefill_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/bf16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,prefill,prefill_heavy,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009738,0.009738,0.066955,0.066955,-0.065848,,-0.065848,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/fp16_default/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
/nfs/home/s314511048/mixed_precision/models/hf_quantized/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4,prefill,prefill_heavy,llama31_8b_instruct_awq_marlin_artifact,vllm+float16+awq_marlin,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.02851377,2.851377,-58.653331,-58.653331,142.746265,,142.746265,0.054688,0.249950,0.054688,experiments/h9-transformer-inference-policy-search/results/instruct_awq_marlin_benchmarks/llama31_8b_instruct_awq_marlin_artifact/benchmark.json,,h9_instruct_awq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/instruct_gptq_marlin_benchmarks/bf16_default/benchmark.json,,h9_instruct_gptq_marlin; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
