model_name,group_name,workload_name,candidate_action,backend,hardware_label,backend_feasible,calibration_signal,perturbation_risk,predicted_quality_risk,prompt_nll_delta_pct_vs_bf16,latency_delta_pct_vs_bf16,prefill_latency_delta_pct_vs_bf16,output_tokens_per_sec_delta_pct_vs_bf16,decode_tokens_per_sec_delta_pct_vs_bf16,total_tokens_per_sec_delta_pct_vs_bf16,memory_delta_gib_vs_bf16,memory_delta_pct_vs_bf16,kv_cache_memory_delta_gib_vs_bf16,source_artifact,failure_reason,notes
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.706111,,-1.677881,-1.677881,-1.677881,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.768831,,-1.739250,-1.739250,-1.739250,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_bitsandbytes,vllm+float16+bitsandbytes,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.01324062,1.324062,-42.350318,,73.459595,73.459595,73.459595,0.656250,2.999406,0.656250,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_bitsandbytes/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009038,0.009038,0.269745,,-0.269952,-0.269952,-0.269952,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.387256,,-1.368143,-1.368143,-1.368143,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_heavy,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.486275,,-1.465775,-1.465775,-1.465775,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.850111,,-1.811982,,-1.811982,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.967952,,-1.928934,,-1.928934,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_bitsandbytes,vllm+float16+bitsandbytes,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.01324062,1.324062,122.949254,,-55.146687,,-55.146687,0.654297,2.990212,0.654297,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_bitsandbytes/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009038,0.009038,-0.449928,,0.452456,,0.452456,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.465582,,-1.444499,,-1.444499,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,mixed,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,1.271938,,-1.253044,,-1.253044,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.277457,1.277457,-1.260519,,-1.260519,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00049057,-0.049057,1.016284,1.016284,-1.005863,,-1.005863,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,fp16_bitsandbytes,vllm+float16+bitsandbytes,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.01324062,1.324062,-83.828599,-83.828599,-61.351322,,510.227984,0.656250,2.999406,0.656250,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_bitsandbytes/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00009038,0.009038,-0.532373,-0.532373,0.535142,,0.535142,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_default/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,-0.001890,-0.001890,0.007864,,0.007864,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_heavy,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00191228,-0.191228,0.722954,0.722954,-0.717580,,-0.717580,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_1_default; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,backend_feasibility,,fp16_torchao,vllm+float16+torchao,rtx3090-lab,false,not_applicable_backend_failure,not_applicable_backend_failure,,,,,,,,,,,experiments/h9-transformer-inference-policy-search/results/benchmarks/fp16_torchao/benchmark.json,Invalid H9 policy: vLLM torchao quantization requires an explicit torchao_config; skip fp16_torchao until a concrete torchao_config is added.,h9_1_default; infeasible row retained to make backend support limits explicit.
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
